Year,ESD,District,School,K-12 Total Enrollment,Do teacher librarians have a role in supporting technology integration in your building?,"Number of Classrooms (including portables used as classrooms, labs, and library)",Number of classrooms with wired or wireless  Internet access,Does this building have a Wide-Area Network (WAN) link to your district office ?,Less than 10 MB,10-99 MB,100-999 MB,1 GB or higher,Does your building provide wireless access to the Internet?,One classroom or meeting room only?,"More than one classroom or meeting room, but not building-wide?",Central areas throughout building (but not one WAP/classroom)?,The entire building?,Number of assistive/adaptive technology devices for dedicated use by students with an IEP or 504 :,Number of Students with School-(or District) Provided E-mail Accounts,"Do you have one or more grades in your school that have a one-to-one initiative (e.g., laptops, tablets, netbooks)?","If yes, please describe:","If yes, are students allowed to take devices home?", List other district-owned wireless handheld devices that you make available for instructional use:,Number of Instructional Laptops,Number of Instructional Desktops,Number of Instructional Netbooks,Number of Instructional Tablets,Number of Instructional Thin Clients,Number of Windows XP OS,Number of Windows 7 OS,Number of Windows8/8.1 OS,Number of Windows 10 OS,Number of Other Windows OS,Number of Linux OS,Number of Mac OS X 10.4 or lower,Number of Mac OS X 10.5 or higher,Number of iOS,Number of Android,Number of Google Chrome,Devices with screen resolution less than 1024 x 768,Devices with screen resolution 1024 x 768 or higher,Devices with screen size less than 9.5 inch,Devices with screen size 10 inch or larger,Devices with RAM less than 1 GB,Devices with RAM 1 GB or higher,Number of multimedia projectors:,"Number of digital media receivers (e.g., Apple TV):",Number of flat panel displays used for displaying teacher lessons (32 inches or larger):,Number of document cameras:,"Number of whole classroom interactive devices (i.e., SMARTBoards, Promethean, Hitachi, etc.)","Number of mobile and wireless interactive slates or tablets (for example, Mobi, Airliners, iPad):","Number of student response systems (number of sets, not individual responder units):",Number of learning environments that provide a classroom amplification system,DistrictWANspeed,SchoolWirelessScope
2015,101,Spokane School District,Logan Elementary,475,1,28,28,1,0,0,0,1,1,0,0,0,1,8,207,0,,0,,48,158,0,7,0,0,206,7,,0,0,0,0,0,0,0,0,213,0,213,0,213,29,2,0,29,25,2,10,0,,
2015,101,Spokane School District,Longfellow Elementary,565,1,28,28,1,0,0,0,1,1,0,0,0,1,4,240,0,,0,,108,122,0,25,0,0,230,25,,0,0,0,0,0,0,0,0,255,0,255,0,255,34,2,0,32,6,5,6,1,,
2015,101,Spokane School District,Madison Elementary,358,1,16,16,1,0,0,0,1,1,0,0,0,1,7,156,0,,0,,47,82,0,0,12,0,141,0,,0,0,0,0,0,0,0,0,141,0,141,0,141,28,0,0,23,11,6,5,0,,
2015,101,Spokane School District,Moran Prairie Elementary,532,1,28,28,1,0,0,0,1,1,0,0,0,1,1,228,0,,0,,82,122,0,0,63,0,267,0,,0,0,0,0,0,0,0,0,267,0,267,0,267,31,4,0,25,22,10,8,0,,
2015,101,Spokane School District,Mullan Road Elementary,587,1,25,25,1,0,0,0,1,1,0,0,0,1,10,257,0,,0,,111,82,0,0,24,0,217,0,,0,0,0,0,0,0,0,0,217,0,217,0,217,23,0,0,28,13,0,3,1,,
2015,101,Spokane School District,North Central High School,1278,1,71,71,1,0,0,0,1,1,0,0,0,1,0,1210,0,,0,,430,338,0,149,0,0,768,149,,0,0,0,0,0,0,0,0,917,0,917,0,917,112,6,0,97,12,0,3,0,,
2015,101,Spokane School District,On Track Academy,276,0,10,10,1,0,0,0,1,1,0,0,0,1,0,383,0,,0,,194,23,0,45,0,0,217,28,,0,0,0,0,17,0,0,0,262,0,262,0,262,7,0,0,8,6,12,0,0,,
2015,101,Spokane School District,Regal Elementary,470,1,28,28,1,0,0,0,1,1,0,0,0,1,8,211,0,,0,,97,66,0,0,0,0,163,0,,0,0,0,0,0,0,0,0,163,0,163,0,163,31,0,0,26,9,1,13,0,,
2015,101,Spokane School District,Ridgeview Elementary,353,1,25,25,1,0,0,0,1,1,0,0,0,1,0,149,0,,0,,82,75,0,0,0,0,157,0,,0,0,0,0,0,0,0,0,157,0,157,0,157,24,0,0,21,1,12,5,3,,
2015,101,Spokane School District,Rogers High School,1581,1,72,72,1,0,0,0,1,1,0,0,0,1,12,1488,0,,0,,504,367,0,147,0,0,871,51,,0,0,0,0,96,0,0,0,1018,18,1000,0,1018,107,82,0,85,13,114,12,6,,
2015,101,Spokane School District,Roosevelt Elementary,501,1,28,28,1,0,0,0,1,1,0,0,0,1,3,228,0,,0,,53,150,0,13,0,0,203,13,,0,0,0,0,0,0,0,0,216,0,216,0,216,31,2,0,27,11,11,8,4,,
2015,101,Spokane School District,Sacajawea Middle School,781,1,47,47,1,0,0,0,1,1,0,0,0,1,7,771,0,,0,,222,357,0,43,0,0,579,26,,0,0,0,0,17,0,0,0,622,0,622,0,622,56,2,0,59,9,13,14,0,,
2015,101,Spokane School District,Salk Middle School,749,1,43,43,1,0,0,0,1,1,0,0,0,1,7,748,0,,0,,130,331,0,13,0,0,461,6,,0,0,0,0,7,0,0,0,474,1,473,0,474,46,0,0,40,9,6,11,0,,
2015,101,Spokane School District,Shadle Park High School,1441,1,87,87,1,0,0,0,1,1,0,0,0,1,14,1388,0,,0,,399,228,0,194,0,0,627,166,,0,0,0,0,28,0,0,28,793,0,821,0,821,110,0,0,82,28,20,8,0,,
2015,101,Spokane School District,Shaw Middle School,602,1,43,43,1,0,0,0,1,1,0,0,0,1,17,599,0,,0,,240,277,0,13,0,0,517,13,,0,0,0,0,0,0,0,0,530,0,530,0,530,52,5,0,44,17,4,7,2,,
2015,101,Spokane School District,Sheridan Elementary,446,1,0,0,1,0,0,0,1,1,0,0,0,1,5,208,0,,0,,76,109,0,8,0,0,185,0,,0,0,0,0,8,0,0,0,193,0,193,0,193,27,0,0,27,20,0,9,6,,
2015,101,Spokane School District,Spokane Area Professional-Technical Skills Center,,0,26,26,1,0,0,0,1,1,0,0,0,1,0,366,0,,0,,160,125,0,0,0,0,285,0,,0,0,0,0,0,0,0,0,285,0,285,0,285,25,0,0,9,2,0,1,0,,
2015,101,Spokane School District,Stevens Elementary,531,1,28,28,1,0,0,0,1,1,0,0,0,1,3,240,0,,0,,86,129,0,0,0,0,215,0,,0,0,0,0,0,0,0,0,215,0,215,0,215,31,0,0,26,10,4,3,0,,
2015,101,Spokane School District,The Community School,99,0,32,32,1,0,0,0,1,1,0,0,0,1,0,102,1,Curriculum is online and project based; all students are assigned a dedicated laptop.,1,,224,95,0,0,0,0,299,20,,0,0,0,0,0,0,0,0,319,0,319,0,319,40,0,0,20,1,0,2,0,,
2015,101,Spokane School District,Westview Elementary,454,1,21,21,1,0,0,0,1,1,0,0,0,1,0,197,0,,0,,117,100,0,5,0,0,217,5,,0,0,0,0,0,0,0,0,222,0,222,0,222,31,1,0,20,17,1,4,0,,
2015,101,Spokane School District,Whitman Elementary,573,1,30,30,1,0,0,0,1,1,0,0,0,1,6,253,0,,0,,79,166,0,0,0,0,245,0,,0,0,0,0,0,0,0,0,245,0,245,0,245,32,2,0,33,31,7,11,0,,
2015,101,Spokane School District,Willard Elementary,555,1,28,28,1,0,0,0,1,1,0,0,0,1,0,239,0,,0,,171,84,0,0,0,0,255,0,,0,0,0,0,0,0,0,0,255,0,255,0,255,32,2,0,30,16,0,5,0,,
2015,101,Spokane School District,Wilson Elementary,381,1,16,16,1,0,0,0,1,1,0,0,0,1,0,166,0,,0,,88,77,0,6,0,0,165,6,,0,0,0,0,0,0,0,0,171,0,171,0,171,18,0,0,16,11,0,5,9,,
2015,101,Spokane School District,Woodridge Elementary,449,1,28,28,1,0,0,0,1,1,0,0,0,1,0,193,0,,0,,62,79,0,6,0,0,141,6,,0,0,0,0,0,0,0,0,147,0,147,0,147,32,0,0,21,17,0,8,0,,
2015,101,Sprague School District,Sprague Elementary,39,1,8,8,1,0,0,0,1,1,0,0,0,1,0,0,1,Each fourth grade student has a laptop,0,,0,16,0,0,0,0,16,0,,0,0,0,0,0,0,0,0,16,0,16,0,16,5,0,0,3,0,0,0,0,,
2015,101,Sprague School District,Sprague High School,29,1,11,11,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,15,0,0,0,0,15,0,,0,0,0,0,0,0,0,0,15,0,15,0,15,5,0,0,3,1,0,0,0,,
2015,101,St. John School District,St John Elementary,72,0,10,10,1,0,0,0,1,1,0,0,1,0,1,0,0,,0,,15,8,0,0,0,4,0,0,,0,0,4,15,0,0,0,0,23,0,23,2,21,6,0,0,6,3,0,0,0,,
2015,101,St. John School District,St John/Endicott High,76,0,10,10,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,,0,45,0,0,0,0,0,0,,0,0,0,45,0,0,0,0,45,0,45,0,45,8,0,0,8,76,0,0,0,,
2015,189,Stanwood-Camano School District,Cedarhome Elementary School,526,1,31,31,1,0,0,0,1,1,0,0,1,0,5,0,0,,0,None,20,30,0,0,0,0,0,0,,0,0,50,0,0,0,0,0,50,0,50,0,50,25,0,0,25,0,0,0,0,,
2015,189,Stanwood-Camano School District,Elger Bay Elementary,298,0,30,30,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,30,43,0,0,0,0,0,0,,0,0,73,0,0,0,0,0,73,0,73,30,43,30,0,0,25,0,0,0,0,,
2015,189,Stanwood-Camano School District,Lincoln Academy,15,0,10,10,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,12,15,0,12,0,0,0,0,,0,0,0,27,12,0,0,27,12,12,27,39,0,6,0,0,6,0,0,0,0,,
2015,189,Stanwood-Camano School District,Lincoln Hill High School,129,0,11,11,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,20,0,0,0,0,0,0,0,,0,0,0,20,0,0,0,0,20,0,20,0,20,9,0,0,9,0,0,0,0,,
2015,189,Stanwood-Camano School District,Port Susan Middle School,524,0,40,40,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,90,0,0,0,0,0,0,,0,0,90,0,0,0,0,0,90,0,90,0,90,25,0,0,25,0,0,0,0,,
2015,189,Stanwood-Camano School District,Saratoga School,116,0,4,4,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,50,0,0,0,0,0,0,0,,0,0,0,50,0,0,0,0,50,0,50,0,50,3,0,0,3,0,0,0,0,,
2015,189,Stanwood-Camano School District,Stanwood Elementary School,347,0,28,28,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,20,59,0,0,0,0,0,0,,0,0,79,0,0,0,0,0,79,0,79,20,59,25,0,0,25,0,0,0,0,,
2015,189,Stanwood-Camano School District,Stanwood High School,1424,1,87,87,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,130,0,0,0,0,0,0,,0,0,130,0,0,0,0,0,130,0,130,0,130,80,0,0,80,0,0,0,0,,
2015,189,Stanwood-Camano School District,Stanwood Middle School,511,0,33,33,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,90,0,0,0,0,0,0,,0,0,90,0,0,0,0,0,90,0,90,0,90,30,0,0,30,0,0,0,0,,
2015,189,Stanwood-Camano School District,Twin City Elementary,328,0,23,23,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,30,0,0,0,0,0,0,,0,0,30,0,0,0,0,0,30,0,30,0,30,20,0,0,20,0,0,0,0,,
2015,189,Stanwood-Camano School District,Utsalady Elementary,279,0,24,24,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,22,30,0,0,0,0,0,0,,0,0,52,0,0,0,0,0,52,0,52,22,30,20,0,0,20,0,0,0,0,,
2015,123,Star School District No. 054,Star Elem School,5,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1 Computer per student,0,,0,4,6,0,0,4,0,0,,0,0,0,0,6,0,0,0,10,10,0,0,10,2,0,0,2,1,0,0,0,,
2015,123,Starbuck School District,Starbuck School,28,0,4,4,0,0,0,0,0,1,0,0,0,1,0,0,1,Laptops,0,,15,0,0,0,0,0,15,0,,0,0,0,0,0,0,0,0,15,0,15,0,15,4,4,3,3,3,0,0,0,,
2015,121,Steilacoom Hist. School District,Anderson Island Elementary,38,1,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,,0,NA,0,16,0,0,0,0,16,0,,0,0,0,0,0,0,0,0,16,0,16,0,16,2,0,0,2,2,2,1,2,,
2015,121,Steilacoom Hist. School District,Cherrydale Elementary,317,0,19,19,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,62,75,0,0,0,0,137,0,,0,0,0,0,0,0,0,0,137,0,137,0,137,19,0,0,19,18,0,0,19,,
2015,121,Steilacoom Hist. School District,Chloe Clark Elementary,562,0,29,29,1,0,0,0,1,1,0,0,0,1,2,0,0,,0,,60,79,0,0,0,0,139,0,,0,0,0,0,0,0,0,0,139,0,139,0,139,31,0,0,31,31,0,0,31,,
2015,121,Steilacoom Hist. School District,Pioneer Middle,739,1,35,35,1,0,0,0,1,1,0,0,0,1,5,0,0,,0,,60,277,0,0,0,0,337,0,,0,0,0,0,0,0,0,0,337,0,337,0,337,39,0,0,37,37,37,8,37,,
2015,121,Steilacoom Hist. School District,PreSchool and ECEAP,0,0,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,,
2015,121,Steilacoom Hist. School District,Saltars Point Elementary,431,0,20,20,1,0,0,0,1,1,0,0,0,1,1,0,0,,0,,76,76,0,0,0,0,152,0,,0,0,0,0,0,0,0,0,152,0,152,0,152,24,0,0,24,24,0,0,24,,
2015,121,Steilacoom Hist. School District,Steilacoom High,906,1,45,45,1,0,0,0,1,1,0,0,0,1,12,0,0,,0,,236,280,0,0,0,0,516,0,,0,0,0,0,0,0,0,0,516,0,516,0,516,44,0,0,43,43,43,10,43,,
2015,101,Steptoe School District,Steptoe Elementary School,34,0,6,6,0,0,0,0,0,1,0,0,0,1,0,0,1,All students 3rd grade and up have their own laptop to use at school.,0,,25,0,0,35,0,25,0,0,,0,0,0,0,35,0,0,0,60,0,60,35,25,5,0,0,2,2,1,0,0,,
2015,112,Stevenson-Carson School District,Carson Elementary,256,0,27,27,1,0,0,1,0,1,0,0,0,1,1,75,0,,0,0,0,35,0,0,0,0,35,0,,0,0,0,0,0,0,0,0,35,0,35,0,35,22,0,0,19,7,0,4,0,,
2015,112,Stevenson-Carson School District,Stevenson Elementary,216,0,19,19,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,,0,5,15,0,54,0,20,0,,54,0,0,0,0,0,0,15,59,0,74,0,74,14,0,0,12,5,0,0,0,,
2015,112,Stevenson-Carson School District,Stevenson High School,302,0,19,19,1,0,0,1,0,1,0,0,0,1,2,250,0,,0,,90,50,0,0,100,0,140,0,,100,0,0,0,0,0,0,0,240,0,240,0,240,20,0,0,20,6,0,4,0,,
2015,189,Sultan School District,Gold Bar Elementary,293,1,26,26,1,0,0,1,0,1,0,0,1,0,4,0,0,,0,,0,128,30,0,4,158,4,0,,0,0,0,0,0,0,0,30,132,30,132,162,0,27,0,0,14,2,1,1,26,,
2015,189,Sultan School District,Sultan Alternative Education School,203,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0,20,0,20,0,,0,0,0,0,0,0,0,0,20,0,20,0,20,1,0,0,1,0,0,0,0,,
2015,189,Sultan School District,Sultan Elementary School,539,1,34,34,1,0,1,0,0,1,0,1,0,0,0,0,0,,0,,0,222,64,0,46,222,110,0,,0,0,0,0,0,0,0,64,268,64,268,0,332,35,0,0,24,8,0,1,29,,
2015,189,Sultan School District,Sultan Middle School,424,0,25,25,1,0,1,0,0,1,0,0,1,0,0,0,0,,0,,32,92,32,0,173,0,329,0,,0,0,0,0,0,0,0,32,297,32,297,0,329,34,1,0,23,4,1,2,25,,
2015,189,Sultan School District,Sultan Senior High School,551,0,37,37,1,0,1,0,0,1,0,0,1,0,5,0,0,,0,,46,65,32,2,60,65,138,0,,0,0,0,0,2,0,0,65,140,67,138,67,138,39,0,0,23,5,0,0,5,,
2015,101,Summit Valley School District,Summit Valley School,74,0,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,,35,20,0,5,0,10,45,0,,0,0,0,5,0,0,0,0,60,5,55,0,60,6,0,0,5,5,7,1,0,,
2015,121,Sumner School District,Bonney Lake Elementary,446,0,26,26,1,0,0,1,0,1,0,0,0,1,0,465,1,Grades 2-5 dedicated Chromebooks.,0,,472,0,0,0,0,0,95,0,,0,0,0,0,0,0,377,0,472,0,472,0,472,26,26,0,25,26,80,0,25,,
2015,121,Sumner School District,Bonney Lake High School,1353,1,65,65,1,0,0,1,0,1,0,0,0,1,0,1339,1,Grade 9 dedicated Chromebooks in core subject areas,0,,781,238,0,0,0,0,380,0,,0,0,0,15,0,0,624,0,1019,0,1019,0,1019,65,0,0,65,4,0,0,65,,
2015,121,Sumner School District,Crestwood Elementary,417,1,24,24,1,0,0,1,0,1,0,0,0,1,7,0,0,,0,,296,0,0,0,0,0,64,0,,0,0,0,0,0,0,232,0,296,0,296,0,296,24,0,0,24,23,0,0,24,,
2015,121,Sumner School District,Daffodil Valley Elementary,532,0,25,25,1,0,0,1,0,1,0,0,0,1,0,545,1,Grades 3 - 5 dedicated Chromebook per student,0,,496,0,0,0,0,0,60,0,,0,0,0,0,0,0,436,0,496,0,496,0,496,25,25,0,25,25,25,0,25,,
2015,121,Sumner School District,Eismann Elementary,439,1,28,28,1,0,0,1,0,1,0,0,0,1,5,460,1,Grades 3-5 dedicated Chromebooks,0,20 iPads,343,0,0,0,0,0,90,0,,0,0,0,0,0,0,253,0,343,0,343,0,343,28,5,0,28,33,20,0,28,,
2015,121,Sumner School District,Emerald Hills Elementary,352,1,26,26,1,0,0,1,0,1,0,0,0,1,0,376,1,Grades 2-5 dedicated Chromebooks,0,,305,30,0,0,0,0,108,0,,0,0,0,0,0,0,227,0,335,0,335,0,335,26,0,0,26,26,9,0,26,,
2015,121,Sumner School District,Lakeridge Middle School,618,0,33,33,1,0,0,1,0,1,0,0,0,1,0,594,1,Grades 6-7 dedicated Chromebooks,0,,702,119,0,0,0,0,429,0,,0,0,0,0,0,0,392,0,821,0,821,0,821,33,0,0,33,1,75,0,33,,
2015,121,Sumner School District,Liberty Ridge Elementary,440,0,25,25,1,0,0,1,0,1,0,0,0,1,3,406,1,Grades 3-5 dedicated Chromebooks,0,,313,28,0,0,0,0,88,0,,0,0,0,0,0,0,253,0,341,0,341,0,341,25,0,0,25,0,1,0,25,,
2015,121,Sumner School District,Maple Lawn Elementary,586,0,31,31,1,0,0,1,0,1,0,0,0,1,5,480,1,Grades 3-5 dedicated Chromebooks,0,30 iPads,392,4,0,0,0,0,138,0,,0,0,0,0,0,0,258,0,396,0,396,0,396,30,30,0,30,0,30,0,30,,
2015,121,Sumner School District,Mountain View Middle School,631,0,37,37,1,0,0,1,0,1,0,0,0,1,0,662,1,Grades 6 & 8th dedicated Chromebooks,0,,489,96,0,0,0,0,186,0,,0,0,0,0,0,0,399,0,585,0,585,0,585,37,0,0,37,0,0,0,2,,
2015,121,Sumner School District,Sumner High School,1814,1,67,67,1,0,0,1,0,1,0,0,0,1,4,1585,1,"Grade 9, core subject areas",0,,877,277,0,0,0,0,464,0,,0,0,0,0,0,0,690,0,1154,0,1154,0,1154,67,0,0,67,1,66,0,66,,
2015,121,Sumner School District,Sumner Middle School,694,0,37,37,1,0,0,1,0,1,0,0,0,1,0,705,1,Grades 6 & 7 dedicated Chromebooks,0,,488,149,0,0,0,0,306,0,,0,0,0,0,0,0,331,0,637,0,637,0,637,37,0,0,37,0,4,0,37,,
2015,121,Sumner School District,Victor Falls Elementary,592,0,28,28,1,0,0,1,0,1,0,0,0,1,0,572,1,Grades 3-5 dedicated Chromebooks,0,,497,18,0,0,0,0,171,0,,0,0,0,0,0,0,344,0,515,0,515,0,515,28,0,0,28,28,0,0,28,,
2015,105,Sunnyside School District,Chief Kamiakin Elementary School,767,1,41,41,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,2,65,0,141,0,0,0,0,,0,0,0,67,141,0,0,0,208,0,208,65,143,39,3,0,38,2,0,0,3,,
2015,105,Sunnyside School District,Harrison Middle School,779,1,42,42,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,,0,65,0,115,0,0,0,0,,0,0,0,65,115,0,0,0,180,0,180,0,180,35,3,0,35,5,2,0,2,,
2015,105,Sunnyside School District,Outlook Elementary School,577,1,40,40,1,0,0,0,1,1,0,0,0,1,2,0,0,,0,iPad Touch 40,0,38,0,87,0,0,0,0,,0,0,0,38,87,0,0,0,125,0,125,0,125,40,5,0,40,2,8,1,0,,
2015,105,Sunnyside School District,Pioneer Elementary School,713,1,47,47,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,Ipods (30),0,57,0,70,0,0,0,0,,0,0,0,57,70,0,0,0,127,0,127,57,70,46,0,0,46,3,73,0,2,,
2015,105,Sunnyside School District,Sierra Vista Middle School,697,1,37,37,1,0,0,0,1,1,0,0,0,1,6,689,0,,0,,0,141,0,58,0,0,0,0,,0,0,0,141,58,0,0,0,199,0,199,73,126,38,0,0,38,3,0,0,1,,
2015,105,Sunnyside School District,Sunnyside High School,1859,0,85,85,1,0,0,0,1,1,0,0,0,1,3,0,0,,0,,0,12,0,52,0,0,0,0,,0,0,0,12,52,0,0,0,64,0,64,0,64,81,2,1,76,12,0,1,66,,
2015,105,Sunnyside School District,Washington Elementary,678,1,41,41,1,0,0,0,1,1,0,0,0,1,13,0,1,resource rooms,0,,0,60,0,35,0,0,0,0,,0,0,0,60,35,0,0,0,95,0,95,31,64,42,10,0,42,3,10,0,0,,
2015,121,Tacoma School District,Angelo Giaudrone Middle School,638,1,41,41,1,0,0,0,1,1,0,0,0,1,3,638,0,,0,,290,201,0,20,0,0,491,0,,0,0,0,0,20,0,0,0,511,0,511,0,511,41,0,0,41,20,0,6,0,,
2015,121,Tacoma School District,Arlington,250,1,20,20,1,0,0,0,1,1,0,0,0,1,1,347,1,ASUS Tablets,0,,84,94,0,350,0,0,178,330,,0,0,0,0,20,0,0,0,528,0,528,0,528,20,0,0,20,5,0,0,20,,
2015,121,Tacoma School District,Baker,695,1,42,42,1,0,0,0,1,1,0,0,0,1,2,700,0,,0,,272,192,0,2,0,0,464,0,,0,0,0,0,2,0,0,0,466,0,466,0,466,42,0,0,42,36,0,0,0,,
2015,121,Tacoma School District,Birney,412,1,25,25,1,0,0,0,1,1,0,0,0,1,2,491,0,,0,,112,87,0,6,0,0,199,0,,0,0,0,0,6,0,0,0,205,0,205,0,205,25,0,0,25,7,4,0,25,,
2015,121,Tacoma School District,Blix Elementary,491,1,28,28,1,0,0,0,1,1,0,0,0,1,1,515,0,,0,,84,39,0,1,0,0,123,0,,0,0,0,0,1,0,0,0,124,0,124,0,124,28,0,0,28,1,0,1,28,,
2015,121,Tacoma School District,Boze,368,1,28,28,1,0,0,0,1,1,0,0,0,1,1,447,0,,0,,112,117,0,75,0,0,229,0,,0,0,0,0,75,0,0,0,304,0,304,0,304,28,0,0,28,2,0,0,28,,
2015,121,Tacoma School District,Browns Point,460,1,29,29,1,0,0,0,1,1,0,0,0,1,2,464,0,,0,,112,121,0,2,0,0,233,0,,0,0,0,0,2,0,0,0,235,0,235,0,235,29,0,0,29,0,0,0,29,,
2015,121,Tacoma School District,Bryant,427,1,23,23,1,0,0,0,1,1,0,0,0,1,2,459,0,,0,,112,70,0,4,0,0,182,0,,0,0,0,0,4,0,0,0,186,0,186,0,186,23,0,0,23,1,0,0,23,,
2015,121,Tacoma School District,Crescent Heights,498,1,27,27,1,0,0,0,1,1,0,0,0,1,0,501,0,,0,,112,109,0,0,0,0,221,0,,0,0,0,0,0,0,0,0,221,0,221,0,221,27,0,0,27,0,0,0,27,,
2015,121,Tacoma School District,Delong,547,1,27,27,1,0,0,0,1,1,0,0,0,1,0,548,0,,0,,140,37,0,8,0,0,177,0,,0,0,0,0,8,0,0,0,185,0,185,0,185,29,0,0,29,6,4,0,29,,
2015,121,Tacoma School District,Downing,264,1,19,19,1,0,0,0,1,1,0,0,0,1,2,330,0,,0,,112,91,0,0,0,0,203,0,,0,0,0,0,0,0,0,0,203,0,203,0,203,19,0,0,19,1,0,0,19,,
2015,121,Tacoma School District,Edison,505,1,28,28,1,0,0,0,1,1,0,0,0,1,1,522,0,,0,,140,90,0,2,0,0,230,0,,0,0,0,0,2,0,0,0,232,0,232,0,232,28,0,0,28,2,1,0,28,,
2015,121,Tacoma School District,Fawcett,446,1,17,17,1,0,0,0,1,1,0,0,0,1,1,465,0,,0,,112,83,0,2,0,0,195,0,,0,0,0,0,2,0,0,0,197,0,197,0,197,17,0,0,17,1,0,0,17,,
2015,121,Tacoma School District,Fern Hill,362,1,23,23,1,0,0,0,1,1,0,0,0,1,0,364,0,,0,,84,101,0,2,0,0,185,0,,0,0,0,0,2,0,0,0,187,0,187,0,187,23,0,0,23,21,0,0,23,,
2015,121,Tacoma School District,First Creek Middle School,776,1,31,31,1,0,0,0,1,1,0,0,0,1,6,768,0,,0,,422,294,0,4,0,0,716,0,,0,0,0,0,4,0,0,0,720,0,720,0,720,31,0,0,31,33,0,2,47,,
2015,121,Tacoma School District,Foss,888,1,47,47,1,0,0,0,1,1,0,0,0,1,5,879,0,,0,,30,352,0,1,0,0,382,0,,0,0,0,0,1,0,0,0,383,0,383,0,383,47,0,0,47,7,0,1,0,,
2015,121,Tacoma School District,Franklin,267,1,23,23,1,0,0,0,1,1,0,0,0,1,7,348,0,,0,,112,72,0,32,0,0,184,0,,0,0,0,0,32,0,0,0,216,0,216,0,216,23,0,0,23,0,0,0,23,,
2015,121,Tacoma School District,Geiger,412,1,24,24,1,0,0,0,1,1,0,0,0,1,0,441,0,,0,,196,34,0,59,0,0,230,0,,0,0,0,0,59,0,0,0,289,0,289,0,289,32,0,0,32,30,0,0,32,,
2015,121,Tacoma School District,Grant,342,1,21,21,1,0,0,0,1,1,0,0,0,1,4,441,0,,0,,112,67,0,2,0,0,179,0,,0,0,0,0,2,0,0,0,181,0,181,0,181,21,0,0,21,3,0,0,21,,
2015,121,Tacoma School District,Gray,615,1,38,38,1,0,0,0,1,1,0,0,0,1,6,616,0,,0,,188,241,0,6,0,0,429,0,,0,0,0,0,6,0,0,0,435,0,435,0,435,38,0,0,38,38,0,1,45,,
2015,121,Tacoma School District,Helen B. Stafford Elementary,518,1,27,27,1,0,0,0,1,1,0,0,0,1,4,557,1,ASUS Tablets,0,,112,114,0,107,0,0,226,84,,0,0,0,0,23,0,0,0,333,0,333,0,333,27,0,0,27,27,7,0,27,,
2015,121,Tacoma School District,Jason Lee,595,1,42,42,1,0,0,0,1,1,0,0,0,1,8,604,0,,0,,204,180,0,2,0,0,384,0,,0,0,0,0,2,0,0,0,386,0,386,0,386,42,0,0,42,41,15,0,50,,
2015,121,Tacoma School District,Jefferson,303,1,15,15,1,0,0,0,1,1,0,0,0,1,6,318,0,,0,,84,77,0,0,0,0,161,0,,0,0,0,0,0,0,0,0,161,0,161,0,161,15,0,0,15,0,0,0,15,,
2015,121,Tacoma School District,Larchmont,402,1,30,30,1,0,0,0,1,1,0,0,0,1,9,433,0,,0,,84,124,0,1,0,0,208,0,,0,0,0,0,1,0,0,0,209,0,209,0,209,30,0,0,30,0,0,1,30,,
2015,121,Tacoma School District,Lincoln,1406,1,67,67,1,0,0,0,1,1,0,0,0,1,5,1406,0,,0,,214,537,0,1,0,0,751,0,,0,0,0,0,1,0,0,0,752,0,752,0,752,67,0,0,67,39,0,0,45,,
2015,121,Tacoma School District,Lister,529,1,31,31,1,0,0,0,1,1,0,0,0,1,0,569,0,,0,,140,149,0,0,0,0,289,0,,0,0,0,0,0,0,0,0,289,0,289,0,289,31,0,0,31,1,0,1,31,,
2015,121,Tacoma School District,Lowell,440,1,23,23,1,0,0,0,1,1,0,0,0,1,5,437,0,,0,,84,103,0,0,0,0,187,0,,0,0,0,0,0,0,0,0,187,0,187,0,187,23,0,0,23,4,0,0,23,,
